Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
hot tub won't heat past 95,2,2,110,14,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,14,12.17,0.00,0.06,54900000,"[33,23,23,42,66,52,52,100,80,80,52,42]",2023-08-01,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
pentair screenlogic not connecting locally,1,1,50,12,1.44,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,12,10.43,17.00,0.05,40,"[33,33,9,9,19,23,9,19,19,33,52,66]",2023-08-14,"Sitelinks, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair screenlogic app not connecting,1,1,50,9,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,12,10.43,0.00,0,63,"[28,64,35,14,50,28,35,50,50,14,64,50]",2023-08-15,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
mustard algae or sand,2,2,320,24,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,11,9.56,0.00,1,1430000,"[55,45,20,6,1,1,1,3,5,20,67,100]",2023-08-14,"Sitelinks, Reviews, Featured snippet, Ads bottom, Video Carousel, People also ask, Indented, Related searches",informational,Organic
hot tub won t heat past 95,1,1,40,5,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,9,7.82,0.00,0.06,32200000,"[33,33,19,33,42,42,9,9,0,4,0,0]",2023-07-27,"Sitelinks, People also ask, Indented, Related searches",informational,Organic
stonescapes mini pebble reviews,1,1,30,19,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,7,6.08,0.00,0.02,57,"[19,26,19,15,15,7,7,7,7,7,7,7]",2023-08-13,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",commercial,Organic
pool umbrella sleeve too big,1,1,30,30,0.29,https://thewaterhobby.com/pool-umbrella-sleeve-too-big-or-small/,7,6.08,2.00,1,92,"[100,18,18,18,18,18,18,18,18,18,18,18]",2023-07-31,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
mustard algae pictures,1,1,50,8,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,6,5.21,0.00,0.02,648000,"[100,100,100,18,18,0,18,18,18,18,18,100]",2023-08-03,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair globrite problems,3,0,70,5,0.71,https://thewaterhobby.com/pentair-globrite-problems-top-10-issues-and-complaints/,5,4.34,3.00,0.27,41,"[78,78,78,35,28,28,64,35,50,64,50,14]",2023-08-15,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair vs polaris pool cleaner,1,1,20,0,1.38,https://thewaterhobby.com/polaris-vs-pentair-cleaner/,4,3.47,5.00,1,88,"[14,14,9,0,9,9,9,9,9,9,9,9]",2023-08-02,"Sitelinks, Reviews, Ads bottom, People also ask, Indented, Related searches",commercial,Organic
best pool phosphate remover,4,4,70,10,0.46,https://thewaterhobby.com/best-phosphate-remover/,4,3.47,1.00,1,966000,"[66,52,23,14,0,0,4,9,14,23,66,80]",2023-08-07,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
cheapest way to increase calcium hardness in pool,14,14,590,23,0.65,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,4,3.47,2.00,1,94,"[65,34,16,8,4,3,5,3,8,13,44,55]",2023-08-11,"Image pack, Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
polaris vs pentair pool cleaner,1,1,20,10,1.38,https://thewaterhobby.com/polaris-vs-pentair-cleaner/,4,3.47,5.00,1,85,"[0,33,33,66,66,66,66,66,66,66,66,66]",2023-08-02,"Sitelinks, Reviews, People also ask, Indented, Related searches",commercial,Organic
aqua leader pools reviews,1,1,20,3,1.37,https://thewaterhobby.com/aqua-leader-pool-reviews/,4,3.47,5.00,1,18700000,"[1,1,2,2,2,2,2,2,2,2,2,2]",2023-07-20,"Knowledge panel, Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",commercial,Organic
pentair screenlogic will not connect locally,2,2,30,9,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,3,2.6,0.00,0.04,41,"[15,11,19,7,19,7,7,7,7,7,7,7]",2023-07-29,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair screenlogic will not connect remotely,3,3,40,12,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,3,2.6,0.00,0.03,49,"[17,5,5,5,5,7,5,5,7,12,28,28]",2023-07-29,"Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
mustard algae or dirt,3,3,30,22,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,2,1.73,0.00,0.08,762000,"[100,100,18,18,0,18,18,18,18,18,18,18]",2023-08-10,"Sitelinks, Featured snippet, Video Carousel, People also ask, Indented, Related searches",informational,Organic
waterguru vs sutro,3,3,30,20,5.47,https://thewaterhobby.com/waterguru-vs-sutro/,2,1.73,10.00,0.82,32,"[4,4,0,0,0,4,4,9,9,33,23,100]",2023-08-06,"Sitelinks, Reviews, Ads top, Video Carousel, People also ask, Indented, Related searches",commercial,Organic
are salt water pools colder,6,6,30,19,0.00,https://thewaterhobby.com/are-salt-water-pools-warmer/,1,0.86,0.00,0,19400000,"[22,77,100,22,44,44,22,22,0,77,22,22]",2023-08-02,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
how to tell if a pool is saltwater or chlorine,9,9,50,23,0.00,https://thewaterhobby.com/how-to-tell-if-a-pool-is-saltwater-or-chlorine/,1,0.86,0.00,0.01,1030000,"[28,28,12,5,5,5,7,5,12,10,12,5]",2023-08-09,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
aqua blue pebble tech,51,51,50,9,0.80,https://thewaterhobby.com/aqua-blue-vs-aqua-white-mini-pebble/,0,0,0.00,0.98,83,"[100,44,77,44,55,33,22,44,55,22,100,77]",2023-07-21,"Image pack, Reviews, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
blue surf pebble sheen,32,32,590,10,0.63,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.58,44,"[62,55,45,16,16,24,20,24,36,36,45,36]",2023-08-03,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
platinum edition replacement salt cell for hayward t-cell-5,26,0,20,6,2.46,https://thewaterhobby.com/platinum-edition-salt-cell-review/,0,0,0.00,1,47,"[50,0,50,0,50,50,50,50,50,50,50,50]",2023-08-15,"Sitelinks, Reviews, Indented, Related searches",informational,Organic
taylor k-2006,70,70,390,6,0.44,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,1,399000000,"[52,20,4,5,2,8,13,16,8,16,25,68]",2023-08-14,"Knowledge panel, Reviews, Image, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
tahoe blue pool color,27,27,50,0,0.00,https://thewaterhobby.com/tropics-blue-vs-tahoe-blue/,0,0,0.00,0.01,90,"[11,3,3,3,3,2,3,4,4,11,5,4]",2023-08-07,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
aqua pebble,71,71,50,2,0.00,https://thewaterhobby.com/aqua-blue-vs-aqua-white-mini-pebble/,0,0,0.00,0.94,79,"[8,3,3,3,3,3,3,8,1,1,3,1]",2023-07-27,"Image pack, Reviews, Image, People also ask, Indented, Popular products, Related searches",informational,Organic
pentair screenlogic app,51,51,390,50,0.69,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,0,0,0.00,0.04,59,"[36,29,29,44,36,36,44,54,54,36,100,81]",2023-08-09,"Knowledge panel, Reviews, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
troubleshooting intellichlor ic40,12,12,20,1,1.83,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.43,28,"[22,22,22,22,22,22,0,22,22,22,22,22]",2023-08-09,"Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
how to increase pool hardness,40,40,110,36,0.63,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,1,5030000,"[54,22,6,6,0,0,4,0,10,18,66,100]",2023-08-09,"Image pack, Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
diamond brite pool finish colors,95,95,30,13,1.42,https://thewaterhobby.com/marcite-vs-diamond-brite/,0,0,0.00,0.96,34200000,"[57,42,71,42,42,28,28,28,57,71,42,28]",2023-07-20,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",informational,Organic
why is my hot tub not heating up,91,91,110,34,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,0.01,92600000,"[33,33,42,66,66,42,42,66,66,66,52,52]",2023-08-13,"Image pack, Sitelinks, Featured snippet, Video Carousel, People also ask, FAQ, Indented, Related searches",informational,Organic
jandy warranty claim,64,64,30,8,0.00,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,0.02,71,"[28,28,71,42,42,28,42,42,28,28,42,100]",2023-08-02,"Reviews, People also ask, Indented, Related searches",informational,Organic
what does mustard algea look like,31,31,90,19,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,0,0,0.00,0,5340000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2023-08-11,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
hot tub not heating up,93,93,480,34,1.00,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,0.02,35400000,"[54,44,66,100,100,81,81,66,81,81,81,54]",2023-08-09,"Image pack, Sitelinks, Video Carousel, People also ask, FAQ, Indented, Related searches",informational,Organic
stonescapes midnight blue,23,23,210,16,0.00,https://thewaterhobby.com/tropics-blue-vs-midnight-blue/,0,0,0.00,0.33,60,"[53,53,43,35,35,35,23,43,53,53,66,66]",2023-08-01,"Indented, Related searches","informational, transactional",Organic
pebble fina reviews,72,72,30,9,0.00,https://thewaterhobby.com/mini-pebble-vs-pebble-tec/,0,0,0.00,0.04,90,"[100,27,18,18,18,18,18,18,18,18,18,18]",2023-07-18,"Sitelinks, Reviews, Image, People also ask, Indented, Related searches",commercial,Organic
stonescapes aqua white,23,23,260,14,0.00,https://thewaterhobby.com/aqua-blue-vs-aqua-white-mini-pebble/,0,0,0.00,0.28,53,"[66,66,43,43,29,29,22,43,43,54,66,66]",2023-08-01,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
backwash vs rinse,17,17,50,7,0.00,https://thewaterhobby.com/backwash-vs-rinse/,0,0,0.00,0,410000,"[64,64,29,11,11,11,11,11,11,11,23,64]",2023-07-24,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
polaris 280 pool cleaner troubleshooting,32,0,50,16,0.81,https://thewaterhobby.com/polaris-tail-not-moving-sweeping-model-3900-280-360-380/,0,0,0.00,0.62,44,"[78,14,14,14,14,14,14,14,78,78,78,78]",2023-08-15,"Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
k-2006-salt,70,70,40,5,0.45,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,1,97,"[100,35,14,14,14,14,14,14,14,14,78,64]",2023-08-08,"Knowledge panel, Image pack, Reviews, Image, People also ask, Related searches","informational, transactional",Organic
no lights on intellichlor ic40,49,49,20,0,1.65,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,1,54,"[100,0,0,0,18,18,18,18,18,18,18,18]",2023-08-03,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair screenlogic login,26,26,140,47,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,0,0,0.00,0,41,"[65,42,42,42,53,42,53,42,53,65,80,100]",2023-07-30,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches","navigational, transactional",Organic
best grout for pool tile,37,37,50,14,0.51,https://thewaterhobby.com/best-grout-for-pools/,0,0,0.00,1,10300000,"[3,1,0,0,0,0,0,0,1,3,3,3]",2023-08-10,"Image pack, Reviews, Video, Image, Ads bottom, People also ask, Indented, Popular products, Related searches","commercial, informational",Organic
pentair intellichlor high salt,47,47,20,14,1.71,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,1,70,"[66,66,66,66,0,0,0,66,66,66,66,66]",2023-08-09,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches",informational,Organic
pentair globrite pool light,71,71,40,21,0.67,https://thewaterhobby.com/pentair-globrite-problems-top-10-issues-and-complaints/,0,0,0.00,1,73,"[17,64,11,17,11,11,17,11,23,29,64,23]",2023-08-07,"Knowledge panel, Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Related products, Related searches","informational, transactional",Organic
screenlogic pentair app,57,57,30,39,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,0,0,0.00,0.05,74,"[9,9,9,9,19,9,23,19,23,14,33,14]",2023-08-04,"Image pack, Reviews, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
unicell filters,71,71,30,24,0.77,https://thewaterhobby.com/pleatco-vs-unicel/,0,0,0.00,1,78,"[77,44,33,55,0,11,11,11,11,44,33,22]",2023-08-07,"Image pack, Sitelinks, Image, People also ask, Indented, Popular products, Related searches",navigational,Organic
heating a salt water pool,10,10,30,14,0.94,https://thewaterhobby.com/are-salt-water-pools-warmer/,0,0,0.00,1,29300000,"[66,0,0,0,0,0,0,0,0,0,0,0]",2023-07-18,"Image pack, Sitelinks, Reviews, Featured snippet, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
caldera spa 4 dashes on display,7,0,40,0,0.00,https://thewaterhobby.com/caldera-spa-4-dashes-on-display/,0,0,0.00,0.03,37,"[1,0,0,2,0,4,0,0,2,0,0,0]",2023-08-15,"Sitelinks, Video Carousel, People also ask, Indented, Related searches",informational,Organic
diamond brite,91,95,1600,17,1.84,https://thewaterhobby.com/marcite-vs-diamond-brite/,0,0,0.00,1,8600000,"[68,68,68,68,68,52,68,68,100,100,84,84]",2023-08-15,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Popular products",commercial,Organic
stonescape mini pebble colors,16,16,40,13,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.3,66,"[81,100,45,36,36,27,18,0,27,27,27,27]",2023-07-28,"Image pack, Image, Indented, Related searches",informational,Organic
how to increase hardness in pool naturally,29,29,140,29,0.75,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,0.05,3390000,"[81,36,12,5,2,2,2,4,5,19,36,54]",2023-08-15,"Sitelinks, Reviews, Video Carousel, People also ask, Related searches",informational,Organic
lower chlorine in hot tub,85,85,140,29,0.38,https://thewaterhobby.com/how-to-lower-chlorine-in-hot-tub-naturally/,0,0,0.00,0.17,2970000,"[66,66,80,66,80,80,80,80,66,66,80,80]",2023-07-29,"Image pack, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
algae or pollen in pool,39,39,70,12,0.00,https://thewaterhobby.com/mustard-algae-or-pollen/,0,0,0.00,0.02,1070000,"[28,28,12,5,5,5,5,5,17,17,53,53]",2023-08-09,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
stonescapes,89,0,1300,31,2.69,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.07,100,"[79,66,66,54,36,30,54,36,36,54,54,66]",2023-08-15,"Local pack, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Indented, Related searches",navigational,Organic
ecosmarte reviews,35,35,20,27,0.84,https://thewaterhobby.com/ecosmarte-review/,0,0,0.00,0.27,71,"[22,22,22,22,22,22,22,22,22,22,22,22]",2023-08-04,"Knowledge panel, Image pack, Reviews, Image, People also ask, FAQ, Indented, Related searches",commercial,Organic
above ground pool return jet,89,89,170,0,0.41,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,1,22300000,"[36,19,9,6,2,2,2,5,6,23,66,66]",2023-08-11,"Sitelinks, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
pebblesheen,54,54,320,8,0.56,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.37,57,"[100,54,54,36,15,15,7,15,19,23,29,36]",2023-07-30,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
how should my pool jets be positioned,25,25,30,6,0.00,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,0,5800000,"[15,7,7,7,7,7,7,7,7,7,15,19]",2023-08-10,"Reviews, Featured snippet, Video Carousel, People also ask, Indented, Related searches",informational,Organic
hydrapure hayward,42,42,30,13,2.43,https://thewaterhobby.com/hayward-hydra-pure-review/,0,0,0.00,1,43,"[50,50,50,50,50,50,50,50,50,100,100,100]",2023-07-31,"Reviews, Image, People also ask, Indented, Related searches","informational, transactional",Organic
what does pool clarifier do,94,94,260,28,0.89,https://thewaterhobby.com/too-much-clarifier-in-pool/,0,0,0.00,0.1,2180000,"[72,39,11,3,2,2,2,2,7,21,72,100]",2023-08-12,"Reviews, Featured snippet, Video Carousel, People also ask, Indented, Related searches",informational,Organic
stonescapes vs pebble tec,13,13,110,21,0.00,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.02,41,"[29,35,29,29,22,10,10,22,29,29,22,22]",2023-07-31,"Sitelinks, People also ask, Indented, Related searches","commercial, informational",Organic
hot tub wont heat,37,37,50,39,0.59,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,0.03,18900000,"[52,41,41,64,29,23,11,17,17,29,23,17]",2023-08-12,"Image pack, Sitelinks, Featured snippet, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pebble sheen,76,0,1000,19,0.42,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.23,2280000,"[54,54,54,30,30,20,36,41,54,54,54,66]",2023-08-15,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, informational",Organic
how much hydrogen peroxide to lower chlorine in pool,56,56,70,28,0.00,https://thewaterhobby.com/hydrogen-peroxide-to-lower-chlorine-in-hot-tub/,0,0,0.00,0,441000,"[34,34,6,12,6,6,6,6,6,6,34,100]",2023-08-11,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
increase calcium hardness,71,71,30,33,0.72,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,1,11700000,"[5,3,3,0,0,0,0,0,0,0,0,1]",2023-07-19,"Reviews, Featured snippet, Image, People also ask, FAQ, Indented, Related searches",informational,Organic
what direction should pool jets face,30,30,30,4,0.00,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,0,30200000,"[19,11,7,7,7,7,7,0,7,7,7,26]",2023-07-25,"Image pack, Sitelinks, Video Carousel, People also ask, Indented, Related searches",informational,Organic
increasing pool hardness,53,53,30,36,0.58,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,1,3600000,"[100,100,45,9,9,0,0,0,0,0,0,18]",2023-07-12,"Image pack, Reviews, Featured snippet, Image, Video Carousel, People also ask, FAQ, Indented, Related searches",informational,Organic
mini pebble pool finish,57,57,320,21,2.62,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.81,99,"[54,54,44,44,29,29,36,44,44,54,54,66]",2023-08-10,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Popular products, Related searches",informational,Organic
caldera spas troubleshooting,35,35,40,38,0.59,https://thewaterhobby.com/caldera-spa-4-dashes-on-display/,0,0,0.00,0.08,37,"[27,36,27,27,45,27,27,36,27,27,36,36]",2023-07-26,"Image pack, People also ask, Indented, Related searches",informational,Organic
